u,v,length,name
288650175,5794626311,127.16669700498667,Vía 225
288650175,288650163,172.19917805080016,Vía 225
288650175,5794624589,995.104551334357,Sin nombre
288650294,620163972,54.3630894329984,Vía 232
288650294,1718455167,996.9401063602447,Vía 225
288650294,12163722914,178.4836354838931,Vía 232
288651039,1718418920,159.6186452260205,Sin nombre
288651039,1718418903,26.92023165193188,Vía 232
288651039,1718448337,470.33161731884275,Vía 232
288651045,5802483860,307.1184486671675,Vía 10
288651045,1835773733,51.029651800836724,Vía 232
288651045,321772405,50.50599432130383,Vía 10
288651099,479493829,24.84793349429078,Vía 10
288651099,479493846,140.47288230989201,Avenida 13
288651099,479493868,212.08345629288027,Vía 10
288651103,3283342966,15.706581995122587,Sin nombre
288651103,3283342965,50.33599018162177,Vía 10
288651103,479493870,46.73935134194265,Vía 10
288651122,288651123,93.87933303313814,Calle 2
288651122,3284624810,119.77332288193125,Avenida 4 Panamá
288651123,540898130,95.6819389199632,Avenida 6
288651123,288651122,93.87933303313814,Calle 2
288651123,1431339430,94.73959198972868,Avenida 6
288651123,288651124,95.14726216176877,Calle 2
288651124,471047485,72.28741379588908,Avenida 8
288651124,540898127,27.18920685519287,Avenida 8
288651124,1430564077,18.814997165529782,Calle 2
288651124,288651123,95.14726216176877,Calle 2
288651125,540898143,79.0883426988888,Avenida 12
288651125,288651126,97.71923434743422,Calle 2
288651125,479493879,114.206460897085,Calle 2
288651126,540898118,79.14910796231248,Avenida 14
288651126,288651125,97.71923434743422,Calle 2
288651126,479493881,60.94315443803478,Calle 2
288651129,540898115,70.68406709780264,Avenida 16
288651129,479493881,92.68735476027827,Calle 2
288651129,288651680,231.23650152619263,Calle 2
288651680,540898101,146.57323881746427,Avenida 20
288651680,540898084,138.28140415644694,Calle 2
288651680,288651129,231.23650152619263,Calle 2
288654795,2342186840,149.04884714083448,Vía 230
288654795,1736804203,739.9125783430733,Vía 230
288654795,2342186962,159.5426333381796,Calle La Bomba
288654801,3930788211,22.469207854121798,Vía 230
288654801,6206342858,50.3005229355267,Vía 230
288654801,6206342853,46.06165167022129,Calle Malanga
288654804,288654805,68.73863842596758,Vía 230
288654804,6206342858,22.090158569035772,Vía 230
288654804,8857596002,27.647264810794002,Avenida 0
288654805,288654804,68.73863842596758,Vía 230
288654805,2342186892,70.98212858460552,Avenida 1
288654805,288654834,453.9626562793493,Vía 230
288654834,8863696920,966.5590904907951,Vía 230
288654834,288654805,453.9626562793493,Vía 230
288654834,1821586231,125.7708173017133,Calle Aquiares
288654969,288654975,169.27384644776748,Vía 230
288654969,3930801258,238.76349173689437,Vía 230
288654969,4921332053,188.67284305724758,Sin nombre
288654975,4931125995,90.11201291808828,Vía 230
288654975,288654969,169.27384644776745,Vía 230
288654975,9327367679,216.24928442363193,Sin nombre
288655021,3930810066,50.695898614576066,Vía 230
288655021,3930808739,172.98048062350347,Vía 230
288655021,4931172579,48.12193447957345,Calle San Antonio
288655057,12164505432,50.642161630694076,Vía 230
288655057,4931220473,1333.1863028028129,Vía 230
288655057,3930788256,1799.5098340921452,Calle El Banco
321772262,321772275,1092.2677253764573,Vía 10
321772262,497089687,1574.3384472147075,Vía 10
321772262,2331273157,619.949165682487,Calle Domingo García
321772262,8447169413,2033.4754506507636,Calle San Juan
321772275,7221296156,75.5275827291249,Sin nombre
321772275,8447132682,75.4898983762114,Vía 10
321772275,321772262,1092.267725376457,Vía 10
321772405,620163986,17.71310003088457,Vía 10
321772405,1835773733,39.62362820436523,Vía 232
321772405,288651045,50.50599432130383,Vía 10
321772536,5010576613,456.3346085890058,Vía 10
