name,lat,lon,nearest_node
Delegación Policial de Pacayitas,9.8869053,-83.5830382,6321703959
Salón Comunal,9.8868989,-83.5828851,6321703959
Ebais Pacayitas,9.8866446,-83.5833988,6321703959
La Casona,9.8890387,-83.5835196,7387626733
Mercadito Azul,9.8575069,-83.9278178,480496848
Delegación Policial de San Diego,9.9012312,-84.0066646,2214768950
Pizza y Comida China San Diego,9.8989623,-84.0030769,417024940
Soda Dile,9.8996958,-84.0036962,417024843
Farmacia San Diego,9.9012812,-84.0016445,12049515711
Pollolandia San Diego,9.8992448,-84.0026831,278155872
Repuestos A99,9.9012459,-84.002703,299756378
Clínica Dental Odontología Integral,9.902098,-84.0002537,299756403
Iglesia de Calle Mesén,9.8908815,-84.0120981,6003750144
Soda Isabella's,9.8993078,-84.0026585,278155872
La Gruta,9.9673606,-83.8810418,7879688838
Iglesia El Ultimo Llamado,9.9059369,-83.9998676,299756894
Compañia Red Star,9.9014127,-83.9999452,299756580
Salón Comunutario de Manos Unidas,9.8965509,-84.0031108,914190991
Templo Evangélico,9.9000268,-84.0040847,5780075822
Intelident,9.9013601,-84.0034784,2999194578
Hawaiian Sno,9.9011187,-84.0035459,2999194578
Tacos y Café Dylan,9.9010554,-84.0031686,1990194653
Consultorio Integral Esperanza,9.9009565,-84.0027841,1990194653
4 PETS,9.9021661,-84.0000506,299756403
Punto Seguro,9.8653422,-83.9197732,281467485
Punto Seguro,9.8694009,-83.9493382,638686539
Punto Seguro,9.9136257,-83.6762387,1718439081
Punto Seguro,9.8671284,-83.9324977,281361678
Centro Cristiano Hechos 29,9.8350869,-83.8494486,7251975652
Estación de carga Cerro de La Muerte,9.6162814,-83.8193541,1296751784
Escuela Lourdes,9.9073399,-83.7756527,2418524788
Iglesia de San Martín,9.9068861,-83.746401,2679746761
Iglesia de Naranjo,9.8930788,-83.7640069,2331276437
Ermita de Buenos Aires,9.8997483,-83.7405674,2679761303
Iglesia de La Esmeralda,9.9194721,-83.71888,8316467911
Iglesia de Naranjito,9.8935324,-83.7569361,2331276395
Iglesia de El Congo,9.8641983,-83.7544185,2679298292
Escuela Yolanda,9.8478365,-83.7007513,4223282140
Iglesia de Plaza Vieja,9.8080151,-83.6954138,5790358020
Escuela La Esperanza,9.805639,-83.6469008,5799978773
Iglesia de La Fuente,9.8765942,-83.832201,1237400163
Iglesia de San Martín,9.9460946,-83.8136236,288662078
La Finca,9.8865495,-83.8054494,8319853509
BiciTEC,9.8546476,-83.9071305,2366252357
BiciTEC,9.8543633,-83.9064697,2366252362
BiciTEC,9.8556535,-83.9115007,1362316602
